name,label
3G,T
4G,T
5G,T
7 ELEVEN,G
99 SPEEDMART,G
AA PHARMACY,G
ABC,M
ACAR,M
ACCOMMODATION,A
AEON,G
AEON BIG,G
AEON GROUP,G
AEON MAXVALUE,G
AEON WELLNESS,G
AGAR AGAR,M
AGAR-AGAR,M
AGODA,A
AIR,A
AIR BATU CAMPUR,M
AIR BNB,A
AIR KEDAH,A
AIR KELANTAN,A
AIR KUCHING,A
AIR MELAKA,A
AIR NEGERI SEMBILAN,A
AIR PERAK,A
AIR SELANGOR,A
AIR TERENGGANU,A
AIRASIA,F
AIRASIA X,F
AIRPORT,F
AIS,M
AIS KACANG,M
AKOK,M
ALCOHOL,M
ALLO TECHNOLOGY,T
ALMOND,M
ALTEL COMMUNICATIONS,T
AMBUYAT,M
ANCHOVIES,M
APAM,M
APARTMENT,A
APARTMENTS,A
APP,T
APPLE,M
APPLE,T
APPLES,M
APPLICATION,T
APPLICATIONS,T
APPS,T
ASAM,M
ASAM,M
ASIACARGO,F
ASIACARGO EXPRESS,F
ASSORTED,M
AXIATA,T
AYAM,M
B&B,A
BAK KUT TEH,M
BAKAR,M
BAKED,M
BAKERY,M
BAKKWA,M
BALL POINT PEN,G
BAMBOO,M
BANANA,M
BANANA LEAF,M
BANANA LEAF RICE,M
BANANAS,M
BANDUNG,M
BAR,M
BASKET,G
BAY,M
BAZAR,G
BBQ,M
BEAN,M
BEAR,M
BEAUTY,G
BEDROOM,A
BEDROOMS,A
BEE HOON,M
BEEF,M
BEER,M
BEET,G
BEETROOT,G
BEGEDIL,M
BELLY,M
BELUTAK,M
BEN’S GENERAL FOOD STORE,G
BEN’S INDEPENDENT GROCER,G
BERJAYA AIR,F
BERRIES,M
BERRY,M
BHP,P
BIG PHARMACY,G
BIGBOX,G
BILLION,G
BISCUIT,G
BISCUITS,G
BLACK TEA,M
BLEND,M
BOAT,A
BOATS,A
BOILED,M
BONE,M
BONELESS,M
BONES,M
BOOK,G
BOOK,A
BOOKING,A
BOOKS,G
BORONG,G
BOULEVARD HYPERMARKET,G
BREAST,M
BREW,M
BRIYANI,M
BROADBAND,T
BROADCASTING,T
BROCCOLI,G
BROTH,M
BROWN SUGAR,G
BUBBLE,M
BUBUR,M
BUBUR ASHURA,M
BUBUR CHA CHA,M
BUBUR KACANG HIJAU,M
BUBUR PEDAS,M
BURGER,M
BUS,F
BUTTERS,M
BUTTERS,G
BUTTERSCOTCH,M
BUTTERSCOTCH,G
CABBAGE,G
CABIN,A
CABINS,A
CABLE,G
CABLE,T
CABLE CAR,F
CABLE CARS,F
CABLES,G
CAFE,M
CAFEALTURA,M
CAFEBUSTELO,M
CAFETERIA,M
CAFFECAFFEINE,M
CAFFEINEBR,M
CAFFEINE-FREE,M
CAFFEINNE,M
CAFFIENE,M
CAFFINE-FREE,M
CAKE,M
CALCIUM,M
CALL,T
CALTEX,P
CAMPGROUNDS,A
CAN,M
CANDY,M
CANS,M
CANTONESE,M
CAPSULE,M
CAPSULES,M
CARAMELS,M
CARBOHYDRATEG,M
CARBOHYDRATEGDIETARY,M
CARBOHYDRATEGLUCIDESG,M
CARBOHYDRATELT,M
CARBOHYDRATES,M
CARBOHYRATES,M
CARBON,M
CARBONARA,M
CARBONATE,M
CARBONATED,M
CARBONATES,M
CARBONATE-WHICH,M
CARBONATION,M
CARBONFUND,M
CARBOXIMETHYLCELLULOSE,M
CARBOXY,M
CARBOXYLATE,M
CARBOXYMETHYL,M
CARBOXYMETHYLCELLULOSE,M
CARING,G
CARREFOUR,G
CARTONE,M
CASTROL,P
CATER,A
CATERING,A
CATFISH,M
CAUSEWAY,F
CAUSEWAY LINK,F
CCK FRESH MART,G
CELCOM,T
CELCOM AXIATA,T
CELLULAR,T
CENDOL,M
CEREAL,M
CEREAL,G
CEREALS,G
CHAPATHI,M
CHAR KWAY TEOW,M
CHAR SIU,M
CHECKERS,G
CHEESE,M
CHEESE,G
CHEESECAKE,M
CHEESECAKE,G
CHEESECAKES,M
CHEESECAKES,G
CHERRY,M
CHERRY,G
CHICKEN,M
CHILI,G
CHILLI ,M
CHIP,M
CHOCO,M
CHOCOLATE,M
CHOCTOP,M
CHRYSANTHEMUM,M
CIRCLE K,G
CITY GROCER,G
CITYLINER,F
CKS SUPERMARKET,G
CLAYPOT,M
CMART,G
COAST,A
COCO,M
COCONUT,M
COCOS,M
COFFEE,M
COFFEES,M
COKLAT,M
COKODOK,M
COLD STORAGE,G
COLLECTION,G
COLOR,G
COLOUR,G
COMMUTER,F
CONCENTRATE,M
CONCENTRATED,M
CONCENTRATES,M
CONCERNTRATE,M
CONDIMENT,M
CONE,G
CONES,G
CONNECT,T
CONNECTION,T
CONNECTIONS,T
CONNECTS,T
CONVENIENCE,G
COOL,M
CORN,G
COTTAGE,A
COTTAGES,A
CRAB,M
CRAB,G
CRACKERS,M
CREAMER,G
CRISPY,M
CS BROTHERS,G
CUCUMBER,G
CUCUMBERS,G
CULTURED,M
CULTURES,M
CULTURING,M
CULUTRED,M
CURRIES,M
CURRY,M
CURRY PUFF,M
CUTTLEFISH,M
CYRUP,M
DACSEE,F
DAILY,G
DAIRY,M
DAISY,M
DATA,T
DEEP,M
DEPOT,G
DESSERT,M
DESSERTS,M
DIARY,M
DIESEL,P
DIET,M
DIETARILY,M
DIETARY,M
DIFF,F
DIFFRIDE,F
DIGI,T
DIGI TELECOMMUNICATIONS,T
DIGITAL,T
DILUTED,M
DIM SUM,M
DIOCTYL,M
DIPPED,M
DIPPEPPER,M
DIPPING,M
DISH,M
DISHES,M
DODOL,M
DOSAI,M
DOUGH,M
DOUGHNUT,M
DOUGHS,M
DOWNLOAD,T
